invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,revenue,age_group,month
I606923,C215478,Male,44,Shoes,5,3000.85,Cash,01-04-22,Emaar Square Mall,15004.25,36-45,April
I191145,C106893,Male,21,Souvenir,5,58.65,Cash,12-05-22,Metrocity,293.25,18-25,May
I142958,C689666,Male,34,Toys,5,179.2,Debit Card,21-05-21,Mall of Istanbul,896,26-35,May
I224688,C116415,Male,40,Clothing,1,300.08,Cash,06-02-23,Istinye Park,300.08,36-45,February
I327551,C147574,Female,62,Cosmetics,3,121.98,Cash,16-02-23,Metropol AVM,365.94,56-65,February
I259760,C143748,Male,50,Food & Beverage,3,15.69,Credit Card,15-09-21,Metropol AVM,47.07,46-55,September
I317425,C167909,Female,33,Toys,2,71.68,Credit Card,15-10-21,Mall of Istanbul,143.36,26-35,October
I276782,C621953,Female,44,Clothing,5,1500.4,Credit Card,31-08-21,Metropol AVM,7502,36-45,August
I186994,C120898,Male,19,Shoes,2,1200.34,Cash,10-09-21,Forum Istanbul,2400.68,18-25,September
I106099,C175658,Male,43,Technology,3,3150,Debit Card,01-03-23,Kanyon,9450,36-45,March
I260498,C141144,Male,20,Food & Beverage,5,26.15,Credit Card,05-02-21,Emaar Square Mall,130.75,18-25,February
I203518,C113597,Female,28,Toys,1,35.84,Cash,14-09-21,Forum Istanbul,35.84,26-35,September
I508800,C237789,Male,28,Clothing,4,1200.32,Cash,25-06-22,Mall of Istanbul,4801.28,26-35,June
I477653,C291420,Female,66,Clothing,4,1200.32,Debit Card,11-10-22,Mall of Istanbul,4801.28,65+,October
I177096,C149824,Female,68,Clothing,3,900.24,Cash,26-08-22,Mall of Istanbul,2700.72,65+,August
I247885,C765393,Male,32,Clothing,3,900.24,Cash,22-06-21,Forum Istanbul,2700.72,26-35,June
I694305,C283194,Male,45,Food & Beverage,1,5.23,Debit Card,20-01-21,Metropol AVM,5.23,36-45,January
I216554,C210330,Male,28,Souvenir,5,58.65,Credit Card,19-11-22,Mall of Istanbul,293.25,26-35,November
I948778,C259916,Male,55,Toys,3,107.52,Cash,18-01-22,Viaport Outlet,322.56,46-55,January
I167852,C157997,Female,32,Clothing,1,300.08,Cash,15-02-23,Kanyon,300.08,26-35,February
I181697,C124861,Male,35,Clothing,4,1200.32,Cash,19-05-22,Metrocity,4801.28,26-35,May
I286016,C127087,Male,42,Technology,2,2100,Credit Card,15-02-22,Metropol AVM,4200,36-45,February
I257900,C457737,Female,39,Clothing,5,1500.4,Credit Card,25-09-22,Mall of Istanbul,7502,36-45,September
I276831,C417302,Male,54,Cosmetics,3,121.98,Cash,16-07-22,Mall of Istanbul,365.94,46-55,July
I224823,C242297,Female,64,Clothing,4,1200.32,Credit Card,15-01-21,Metrocity,4801.28,56-65,January
I212258,C200936,Male,39,Books,5,75.75,Cash,03-08-21,Cevahir AVM,378.75,36-45,August
I111527,C388363,Female,18,Clothing,3,900.24,Cash,08-10-22,Kanyon,2700.72,<18,October
I509583,C997261,Female,26,Clothing,1,300.08,Cash,26-01-21,Kanyon,300.08,26-35,January
I283019,C299743,Male,18,Food & Beverage,2,10.46,Cash,27-01-22,Mall of Istanbul,20.92,<18,January
I207490,C141046,Female,40,Cosmetics,1,40.66,Credit Card,23-01-23,Kanyon,40.66,36-45,January
I307165,C108225,Male,34,Clothing,5,1500.4,Cash,01-10-22,Kanyon,7502,26-35,October
I620027,C174501,Female,49,Cosmetics,3,121.98,Cash,09-05-22,Metrocity,365.94,46-55,May
I126370,C169790,Female,49,Clothing,2,600.16,Debit Card,02-08-22,Viaport Outlet,1200.32,46-55,August
I451926,C135082,Female,39,Food & Beverage,3,15.69,Credit Card,16-05-22,Istinye Park,47.07,36-45,May
I892587,C361986,Female,24,Shoes,4,2400.68,Credit Card,08-11-21,Istinye Park,9602.72,18-25,November
I178691,C186864,Male,51,Books,2,30.3,Debit Card,20-09-22,Istinye Park,60.6,46-55,September
I772572,C142918,Female,32,Souvenir,4,46.92,Cash,17-09-21,Forum Istanbul,187.68,26-35,September
I377679,C150261,Male,59,Clothing,4,1200.32,Cash,16-06-21,Zorlu Center,4801.28,56-65,June
I484461,C614908,Female,66,Cosmetics,4,162.64,Cash,10-09-22,Forum Istanbul,650.56,65+,September
I226363,C158872,Female,30,Clothing,1,300.08,Cash,02-12-22,Kanyon,300.08,26-35,December
I231262,C288384,Male,30,Clothing,1,300.08,Credit Card,27-09-21,Kanyon,300.08,26-35,September
I404361,C267058,Female,66,Clothing,1,300.08,Debit Card,03-06-21,Mall of Istanbul,300.08,65+,June
I270503,C309211,Female,54,Food & Beverage,4,20.92,Credit Card,15-01-23,Mall of Istanbul,83.68,46-55,January
I125806,C304939,Female,34,Souvenir,4,46.92,Credit Card,21-10-22,Kanyon,187.68,26-35,October
I259975,C335097,Female,63,Books,3,45.45,Debit Card,05-09-22,Cevahir AVM,136.35,56-65,September
I182199,C196831,Male,38,Souvenir,2,23.46,Credit Card,21-06-22,Emaar Square Mall,46.92,36-45,June
I303022,C670782,Female,68,Technology,3,3150,Credit Card,12-10-21,Cevahir AVM,9450,65+,October
I454337,C153568,Female,39,Clothing,3,900.24,Cash,13-02-21,Cevahir AVM,2700.72,36-45,February
I612259,C617255,Male,26,Clothing,5,1500.4,Cash,29-08-21,Istinye Park,7502,26-35,August
I475705,C212266,Female,59,Toys,3,107.52,Debit Card,05-04-22,Kanyon,322.56,56-65,April
I165167,C198583,Female,58,Souvenir,1,11.73,Debit Card,31-12-21,Mall of Istanbul,11.73,56-65,December
I774463,C102732,Male,58,Books,3,45.45,Credit Card,29-06-21,Metrocity,136.35,56-65,June
I224242,C691785,Female,48,Clothing,1,300.08,Cash,27-01-21,Istinye Park,300.08,46-55,January
I182348,C783640,Female,49,Food & Beverage,1,5.23,Cash,19-06-22,Istinye Park,5.23,46-55,June
I282885,C105750,Female,51,Cosmetics,3,121.98,Cash,06-05-21,Zorlu Center,365.94,46-55,May
I316752,C297308,Female,52,Cosmetics,2,81.32,Credit Card,14-05-21,Zorlu Center,162.64,46-55,May
I113974,C157393,Female,58,Souvenir,3,35.19,Credit Card,04-02-22,Metrocity,105.57,56-65,February
I334942,C190946,Female,38,Clothing,1,300.08,Credit Card,31-08-21,Kanyon,300.08,36-45,August
I301715,C141766,Female,28,Cosmetics,2,81.32,Credit Card,19-01-23,Mall of Istanbul,162.64,26-35,January
I184910,C442725,Female,66,Shoes,5,3000.85,Cash,23-08-22,Kanyon,15004.25,65+,August
I168649,C317160,Female,24,Shoes,2,1200.34,Credit Card,11-09-22,Mall of Istanbul,2400.68,18-25,September
I336178,C343909,Male,29,Shoes,2,1200.34,Debit Card,16-07-21,Kanyon,2400.68,26-35,July
I520335,C324464,Male,37,Clothing,3,900.24,Cash,12-09-22,Viaport Outlet,2700.72,36-45,September
I301595,C165105,Female,29,Toys,1,35.84,Debit Card,04-01-21,Kanyon,35.84,26-35,January
I248210,C273526,Female,50,Souvenir,3,35.19,Credit Card,14-03-22,Kanyon,105.57,46-55,March
I141647,C292433,Male,25,Food & Beverage,1,5.23,Cash,24-01-21,Viaport Outlet,5.23,18-25,January
I204765,C280777,Female,24,Clothing,5,1500.4,Cash,03-06-21,Kanyon,7502,18-25,June
I569053,C207790,Female,25,Food & Beverage,5,26.15,Debit Card,23-03-21,Metrocity,130.75,18-25,March
I234625,C233846,Male,23,Cosmetics,3,121.98,Debit Card,04-03-23,Kanyon,365.94,18-25,March
I214561,C115678,Male,48,Clothing,2,600.16,Cash,18-07-22,Emaar Square Mall,1200.32,46-55,July
I210601,C145762,Female,65,Clothing,2,600.16,Debit Card,19-11-22,Mall of Istanbul,1200.32,56-65,November
I234665,C244004,Female,26,Cosmetics,3,121.98,Cash,27-10-21,Cevahir AVM,365.94,26-35,October
I100071,C522050,Female,30,Clothing,3,900.24,Cash,16-10-21,Mall of Istanbul,2700.72,26-35,October
I849284,C190266,Male,64,Cosmetics,4,162.64,Cash,07-04-21,Istinye Park,650.56,56-65,April
I882598,C907509,Female,27,Books,3,45.45,Debit Card,12-04-22,Forum Istanbul,136.35,26-35,April
I137480,C250389,Male,57,Books,4,60.6,Debit Card,02-04-22,Mall of Istanbul,242.4,56-65,April
I332461,C337635,Male,68,Toys,3,107.52,Credit Card,30-06-21,Metrocity,322.56,65+,June
I100552,C213606,Female,30,Food & Beverage,3,15.69,Credit Card,09-11-21,Metropol AVM,47.07,26-35,November
I158348,C136943,Female,64,Toys,4,143.36,Debit Card,31-08-22,Metropol AVM,573.44,56-65,August
I288677,C190243,Female,60,Food & Beverage,4,20.92,Credit Card,25-06-22,Metrocity,83.68,56-65,June
I326475,C101414,Male,59,Cosmetics,4,162.64,Cash,08-01-23,Kanyon,650.56,56-65,January
I111306,C301159,Female,57,Cosmetics,2,81.32,Debit Card,17-09-22,Zorlu Center,162.64,56-65,September
I218502,C178838,Female,32,Cosmetics,5,203.3,Credit Card,17-10-21,Kanyon,1016.5,26-35,October
I147684,C387215,Male,35,Food & Beverage,5,26.15,Cash,30-04-22,Emaar Square Mall,130.75,26-35,April
I157041,C670277,Female,43,Clothing,5,1500.4,Cash,15-04-21,Kanyon,7502,36-45,April
I102159,C115523,Female,21,Food & Beverage,2,10.46,Cash,02-06-22,Zorlu Center,20.92,18-25,June
I301081,C187267,Female,46,Clothing,5,1500.4,Credit Card,01-05-22,Mall of Istanbul,7502,46-55,May
I135929,C160923,Female,35,Toys,2,71.68,Credit Card,21-01-21,Emaar Square Mall,143.36,26-35,January
I248319,C708152,Male,59,Shoes,5,3000.85,Debit Card,10-02-22,Istinye Park,15004.25,56-65,February
I215482,C302641,Female,68,Clothing,4,1200.32,Cash,07-03-21,Kanyon,4801.28,65+,March
I216874,C121438,Female,37,Food & Beverage,5,26.15,Credit Card,20-09-22,Metropol AVM,130.75,36-45,September
I508037,C332802,Female,22,Cosmetics,5,203.3,Credit Card,28-01-21,Mall of Istanbul,1016.5,18-25,January
I218576,C181950,Female,22,Technology,1,1050,Credit Card,10-04-22,Metrocity,1050,18-25,April
I890286,C140834,Female,26,Technology,4,4200,Credit Card,12-03-22,Emaar Square Mall,16800,26-35,March
I210435,C517862,Female,58,Souvenir,5,58.65,Cash,22-07-22,Zorlu Center,293.25,56-65,July
I411530,C319949,Male,64,Toys,5,179.2,Debit Card,27-09-22,Mall of Istanbul,896,56-65,September
I243364,C271709,Female,45,Clothing,5,1500.4,Credit Card,26-11-22,Istinye Park,7502,36-45,November
I306427,C298838,Female,36,Food & Beverage,2,10.46,Credit Card,31-10-22,Mall of Istanbul,20.92,36-45,October
I199140,C268576,Male,38,Technology,2,2100,Debit Card,02-07-22,Mall of Istanbul,4200,36-45,July
I204484,C868498,Female,58,Shoes,3,1800.51,Credit Card,29-01-23,Emaar Square Mall,5401.53,56-65,January
I150977,C210599,Male,19,Food & Beverage,4,20.92,Credit Card,27-04-22,Metrocity,83.68,18-25,April
I105308,C478486,Male,34,Clothing,5,1500.4,Cash,18-08-22,Metrocity,7502,26-35,August
I840150,C318154,Female,49,Clothing,3,900.24,Cash,23-11-21,Kanyon,2700.72,46-55,November
I247382,C317053,Female,44,Clothing,1,300.08,Debit Card,27-01-23,Mall of Istanbul,300.08,36-45,January
I176776,C258639,Male,27,Technology,3,3150,Credit Card,23-09-22,Cevahir AVM,9450,26-35,September
I338951,C111550,Male,19,Clothing,3,900.24,Credit Card,24-11-22,Metropol AVM,2700.72,18-25,November
I157428,C219077,Male,67,Souvenir,4,46.92,Cash,29-06-22,Forum Istanbul,187.68,65+,June
I298254,C227131,Female,57,Clothing,4,1200.32,Credit Card,07-10-22,Kanyon,4801.28,56-65,October
I119889,C248575,Female,30,Cosmetics,5,203.3,Credit Card,17-02-22,Kanyon,1016.5,26-35,February
I133382,C220977,Female,69,Cosmetics,2,81.32,Credit Card,11-04-22,Mall of Istanbul,162.64,65+,April
I156069,C186477,Female,34,Clothing,3,900.24,Credit Card,21-02-23,Mall of Istanbul,2700.72,26-35,February
I557258,C189454,Female,20,Shoes,4,2400.68,Credit Card,07-09-22,Metrocity,9602.72,18-25,September
I613652,C592142,Male,31,Clothing,4,1200.32,Credit Card,24-10-22,Mall of Istanbul,4801.28,26-35,October
I135008,C747743,Female,67,Clothing,1,300.08,Debit Card,09-01-21,Metrocity,300.08,65+,January
I589225,C929624,Female,67,Cosmetics,4,162.64,Credit Card,04-03-22,Kanyon,650.56,65+,March
I985872,C316101,Female,29,Food & Beverage,2,10.46,Credit Card,25-06-22,Viaport Outlet,20.92,26-35,June
I313991,C170688,Female,38,Clothing,5,1500.4,Cash,02-08-22,Kanyon,7502,36-45,August
I175667,C126059,Female,40,Souvenir,3,35.19,Credit Card,16-11-22,Kanyon,105.57,36-45,November
I182268,C265066,Male,19,Clothing,5,1500.4,Debit Card,11-12-21,Metrocity,7502,18-25,December
I120154,C158610,Male,42,Food & Beverage,3,15.69,Credit Card,04-11-22,Forum Istanbul,47.07,36-45,November
I128498,C404158,Female,56,Cosmetics,1,40.66,Debit Card,21-02-22,Metrocity,40.66,56-65,February
I188085,C463255,Female,43,Books,5,75.75,Cash,14-10-21,Zorlu Center,378.75,36-45,October
I123271,C151685,Female,41,Cosmetics,1,40.66,Debit Card,23-01-23,Mall of Istanbul,40.66,36-45,January
I163629,C206685,Male,61,Clothing,4,1200.32,Cash,23-02-22,Mall of Istanbul,4801.28,56-65,February
I205772,C913057,Female,40,Souvenir,5,58.65,Credit Card,27-03-22,Metrocity,293.25,36-45,March
I231194,C230460,Male,36,Clothing,3,900.24,Debit Card,04-08-22,Istinye Park,2700.72,36-45,August
I124446,C177889,Female,64,Clothing,4,1200.32,Debit Card,17-12-21,Zorlu Center,4801.28,56-65,December
I556770,C163908,Male,33,Books,1,15.15,Cash,06-09-21,Mall of Istanbul,15.15,26-35,September
I241080,C246571,Male,48,Cosmetics,5,203.3,Credit Card,08-07-22,Kanyon,1016.5,46-55,July
I156091,C247294,Female,62,Books,5,75.75,Cash,26-03-22,Istinye Park,378.75,56-65,March
I231412,C689408,Female,41,Toys,3,107.52,Credit Card,21-10-22,Metropol AVM,322.56,36-45,October
I289109,C139131,Female,25,Cosmetics,2,81.32,Credit Card,14-03-21,Kanyon,162.64,18-25,March
I116635,C309057,Female,57,Food & Beverage,1,5.23,Debit Card,30-05-22,Kanyon,5.23,56-65,May
I121547,C125570,Male,56,Food & Beverage,5,26.15,Cash,16-10-21,Viaport Outlet,130.75,56-65,October
I784801,C264299,Male,49,Food & Beverage,4,20.92,Credit Card,25-10-21,Istinye Park,83.68,46-55,October
I802186,C177621,Female,59,Shoes,2,1200.34,Credit Card,09-06-22,Mall of Istanbul,2400.68,56-65,June
I154444,C261875,Male,58,Books,3,45.45,Cash,22-10-21,Metropol AVM,136.35,56-65,October
I171319,C509738,Female,47,Cosmetics,5,203.3,Credit Card,23-01-23,Zorlu Center,1016.5,46-55,January
I198690,C285457,Male,38,Clothing,3,900.24,Credit Card,21-01-23,Metrocity,2700.72,36-45,January
I199491,C226596,Female,64,Clothing,5,1500.4,Cash,18-07-21,Metrocity,7502,56-65,July
I101263,C268120,Male,69,Food & Beverage,4,20.92,Credit Card,12-12-22,Mall of Istanbul,83.68,65+,December
I177278,C301759,Female,51,Food & Beverage,3,15.69,Credit Card,05-07-22,Kanyon,47.07,46-55,July
I127865,C805414,Female,46,Cosmetics,2,81.32,Cash,11-03-22,Mall of Istanbul,162.64,46-55,March
I316624,C161955,Female,39,Food & Beverage,3,15.69,Credit Card,10-03-21,Mall of Istanbul,47.07,36-45,March
I260496,C184268,Female,34,Technology,2,2100,Debit Card,21-01-21,Mall of Istanbul,4200,26-35,January
I203802,C195289,Female,58,Toys,4,143.36,Debit Card,28-06-22,Kanyon,573.44,56-65,June
I552422,C680796,Male,19,Clothing,1,300.08,Cash,29-03-21,Mall of Istanbul,300.08,18-25,March
I159913,C105182,Male,57,Clothing,1,300.08,Cash,11-02-22,Mall of Istanbul,300.08,56-65,February
I118048,C161391,Male,58,Books,4,60.6,Cash,23-03-22,Viaport Outlet,242.4,56-65,March
I138301,C296722,Female,58,Shoes,4,2400.68,Debit Card,30-08-21,Metropol AVM,9602.72,56-65,August
I190827,C296453,Female,30,Clothing,3,900.24,Cash,27-04-22,Istinye Park,2700.72,26-35,April
I291301,C207249,Female,30,Clothing,2,600.16,Credit Card,02-05-21,Kanyon,1200.32,26-35,May
I336464,C184886,Female,42,Shoes,1,600.17,Credit Card,26-03-21,Kanyon,600.17,36-45,March
I102396,C334331,Male,53,Shoes,4,2400.68,Cash,08-04-22,Metrocity,9602.72,46-55,April
I879933,C149886,Male,57,Shoes,2,1200.34,Credit Card,05-03-21,Metrocity,2400.68,56-65,March
I252406,C273530,Male,20,Clothing,3,900.24,Debit Card,06-05-22,Mall of Istanbul,2700.72,18-25,May
I294539,C324607,Female,54,Food & Beverage,4,20.92,Credit Card,07-01-21,Kanyon,83.68,46-55,January
I277376,C330837,Female,23,Food & Beverage,4,20.92,Cash,26-09-21,Kanyon,83.68,18-25,September
I293786,C119726,Female,22,Clothing,5,1500.4,Credit Card,11-04-22,Metropol AVM,7502,18-25,April
I113051,C131565,Female,52,Clothing,3,900.24,Cash,31-07-21,Kanyon,2700.72,46-55,July
I332575,C271808,Female,53,Clothing,3,900.24,Cash,19-06-21,Kanyon,2700.72,46-55,June
I245232,C270565,Female,26,Clothing,2,600.16,Cash,17-11-22,Viaport Outlet,1200.32,26-35,November
I274635,C320814,Female,47,Clothing,4,1200.32,Cash,17-09-21,Viaport Outlet,4801.28,46-55,September
I230443,C976861,Female,25,Shoes,3,1800.51,Debit Card,07-10-21,Kanyon,5401.53,18-25,October
I168272,C226342,Female,25,Food & Beverage,4,20.92,Cash,14-04-21,Kanyon,83.68,18-25,April
I151969,C237345,Female,49,Cosmetics,2,81.32,Cash,29-05-21,Forum Istanbul,162.64,46-55,May
I290836,C221265,Female,63,Clothing,1,300.08,Debit Card,19-08-21,Kanyon,300.08,56-65,August
I253403,C252610,Female,58,Cosmetics,3,121.98,Credit Card,14-05-21,Emaar Square Mall,365.94,56-65,May
I231033,C248067,Male,57,Clothing,4,1200.32,Credit Card,10-01-21,Metropol AVM,4801.28,56-65,January
I336209,C274656,Male,50,Cosmetics,4,162.64,Credit Card,06-06-22,Zorlu Center,650.56,46-55,June
I405141,C174999,Female,34,Clothing,2,600.16,Cash,02-01-22,Mall of Istanbul,1200.32,26-35,January
I740475,C266306,Female,40,Cosmetics,1,40.66,Credit Card,24-12-22,Cevahir AVM,40.66,36-45,December
I459463,C125231,Male,50,Food & Beverage,2,10.46,Debit Card,13-04-21,Emaar Square Mall,20.92,46-55,April
I183503,C104905,Male,19,Food & Beverage,1,5.23,Credit Card,03-03-23,Emaar Square Mall,5.23,18-25,March
I187641,C354096,Female,27,Clothing,5,1500.4,Credit Card,23-02-21,Cevahir AVM,7502,26-35,February
I221601,C826757,Male,43,Clothing,2,600.16,Debit Card,07-06-22,Kanyon,1200.32,36-45,June
I230337,C314681,Male,50,Clothing,4,1200.32,Cash,27-08-21,Mall of Istanbul,4801.28,46-55,August
I761718,C613606,Male,41,Cosmetics,4,162.64,Credit Card,25-05-21,Cevahir AVM,650.56,36-45,May
I250159,C288756,Male,30,Clothing,3,900.24,Cash,14-01-23,Kanyon,2700.72,26-35,January
I236687,C453148,Female,34,Clothing,1,300.08,Credit Card,26-07-22,Emaar Square Mall,300.08,26-35,July
I218392,C107325,Female,62,Food & Beverage,2,10.46,Credit Card,13-08-21,Metrocity,20.92,56-65,August
I320950,C374356,Male,59,Cosmetics,1,40.66,Credit Card,23-10-22,Viaport Outlet,40.66,56-65,October
I256649,C127628,Female,19,Cosmetics,4,162.64,Credit Card,20-11-21,Istinye Park,650.56,18-25,November
I262159,C120248,Male,67,Clothing,5,1500.4,Cash,12-12-21,Metrocity,7502,65+,December
I873922,C928611,Female,32,Clothing,4,1200.32,Credit Card,20-01-21,Mall of Istanbul,4801.28,26-35,January
I132073,C327593,Female,37,Shoes,5,3000.85,Cash,06-03-23,Kanyon,15004.25,36-45,March
I226965,C630839,Male,29,Souvenir,2,23.46,Credit Card,24-03-22,Forum Istanbul,46.92,26-35,March
I186084,C661766,Male,27,Souvenir,1,11.73,Cash,15-06-21,Kanyon,11.73,26-35,June
I299599,C146232,Female,18,Cosmetics,2,81.32,Cash,10-11-22,Mall of Istanbul,162.64,<18,November
I883072,C336643,Male,25,Clothing,4,1200.32,Debit Card,28-09-21,Metropol AVM,4801.28,18-25,September
I524828,C834598,Male,19,Clothing,5,1500.4,Debit Card,29-01-23,Kanyon,7502,18-25,January
I195687,C311642,Male,46,Cosmetics,4,162.64,Cash,15-02-22,Mall of Istanbul,650.56,46-55,February
I168985,C301683,Male,36,Clothing,5,1500.4,Credit Card,04-02-23,Kanyon,7502,36-45,February
I211427,C115008,Male,69,Clothing,4,1200.32,Cash,27-06-21,Metropol AVM,4801.28,65+,June
I177714,C292764,Male,61,Clothing,3,900.24,Cash,26-03-21,Zorlu Center,2700.72,56-65,March
I269189,C150269,Female,49,Clothing,3,900.24,Cash,12-07-21,Metrocity,2700.72,46-55,July
I918283,C292217,Female,46,Shoes,3,1800.51,Debit Card,12-04-22,Mall of Istanbul,5401.53,46-55,April
I129370,C972550,Male,31,Food & Beverage,3,15.69,Debit Card,16-12-21,Viaport Outlet,47.07,26-35,December
I546397,C321645,Male,48,Toys,3,107.52,Debit Card,21-05-22,Istinye Park,322.56,46-55,May
I234902,C527299,Male,33,Shoes,2,1200.34,Cash,20-05-21,Mall of Istanbul,2400.68,26-35,May
I492553,C311722,Male,57,Technology,2,2100,Cash,17-07-22,Metrocity,4200,56-65,July
I257832,C209098,Female,28,Clothing,3,900.24,Credit Card,23-04-22,Mall of Istanbul,2700.72,26-35,April
I144786,C231755,Male,21,Clothing,1,300.08,Cash,23-04-21,Metrocity,300.08,18-25,April
I128435,C221123,Male,21,Clothing,1,300.08,Credit Card,12-12-21,Metropol AVM,300.08,18-25,December
I865311,C297367,Female,18,Cosmetics,5,203.3,Cash,01-05-21,Zorlu Center,1016.5,<18,May
I481601,C133403,Male,28,Clothing,4,1200.32,Credit Card,16-12-21,Kanyon,4801.28,26-35,December
I530453,C325310,Female,69,Clothing,5,1500.4,Cash,06-02-22,Istinye Park,7502,65+,February
I396577,C174867,Female,64,Food & Beverage,2,10.46,Debit Card,05-05-22,Metrocity,20.92,56-65,May
I222744,C304033,Male,59,Clothing,5,1500.4,Credit Card,04-11-21,Kanyon,7502,56-65,November
I351036,C142207,Female,34,Food & Beverage,5,26.15,Credit Card,14-09-21,Metrocity,130.75,26-35,September
I303344,C335888,Male,36,Clothing,2,600.16,Credit Card,11-02-23,Metropol AVM,1200.32,36-45,February
I492639,C197256,Female,54,Cosmetics,1,40.66,Cash,17-11-22,Mall of Istanbul,40.66,46-55,November
I258423,C205489,Male,52,Cosmetics,4,162.64,Debit Card,20-06-22,Metrocity,650.56,46-55,June
I423326,C269522,Male,65,Clothing,3,900.24,Cash,03-10-21,Mall of Istanbul,2700.72,56-65,October
I328801,C945299,Female,60,Clothing,1,300.08,Credit Card,11-07-21,Cevahir AVM,300.08,56-65,July
I179125,C583060,Female,40,Clothing,1,300.08,Cash,23-01-21,Mall of Istanbul,300.08,36-45,January
I314195,C518633,Female,39,Shoes,2,1200.34,Cash,20-03-22,Istinye Park,2400.68,36-45,March
I270489,C159572,Female,18,Shoes,3,1800.51,Credit Card,20-06-22,Forum Istanbul,5401.53,<18,June
I261291,C142615,Female,30,Clothing,4,1200.32,Credit Card,29-06-21,Forum Istanbul,4801.28,26-35,June
I245641,C596142,Female,36,Clothing,3,900.24,Cash,13-06-22,Metropol AVM,2700.72,36-45,June
I247791,C264217,Female,49,Toys,1,35.84,Cash,29-07-21,Mall of Istanbul,35.84,46-55,July
I234823,C134082,Female,33,Clothing,4,1200.32,Cash,10-05-21,Kanyon,4801.28,26-35,May
I199404,C110256,Female,40,Cosmetics,5,203.3,Cash,20-11-21,Istinye Park,1016.5,36-45,November
I326012,C202275,Female,20,Food & Beverage,1,5.23,Credit Card,22-07-22,Metropol AVM,5.23,18-25,July
I202955,C316820,Female,45,Clothing,1,300.08,Debit Card,09-06-22,Istinye Park,300.08,36-45,June
I135905,C152611,Female,26,Clothing,1,300.08,Cash,08-12-22,Viaport Outlet,300.08,26-35,December
I284192,C151746,Male,54,Clothing,4,1200.32,Cash,26-10-22,Kanyon,4801.28,46-55,October
I826293,C248205,Female,33,Cosmetics,1,40.66,Debit Card,18-02-23,Emaar Square Mall,40.66,26-35,February
I340939,C272397,Male,62,Toys,4,143.36,Cash,25-02-22,Kanyon,573.44,56-65,February
I316374,C140286,Male,39,Shoes,2,1200.34,Cash,17-06-22,Zorlu Center,2400.68,36-45,June
I185535,C308646,Male,20,Food & Beverage,4,20.92,Cash,04-10-21,Mall of Istanbul,83.68,18-25,October
I326329,C290101,Female,20,Food & Beverage,4,20.92,Cash,10-04-22,Forum Istanbul,83.68,18-25,April
I417812,C866044,Female,48,Souvenir,1,11.73,Credit Card,23-07-22,Kanyon,11.73,46-55,July
I240148,C114931,Male,25,Clothing,1,300.08,Debit Card,23-11-22,Cevahir AVM,300.08,18-25,November
I294460,C143443,Female,40,Clothing,1,300.08,Cash,19-09-22,Cevahir AVM,300.08,36-45,September
I172692,C155455,Male,61,Shoes,2,1200.34,Cash,13-02-22,Emaar Square Mall,2400.68,56-65,February
I176682,C391495,Male,60,Shoes,4,2400.68,Cash,12-07-22,Mall of Istanbul,9602.72,56-65,July
I231775,C224101,Male,26,Clothing,1,300.08,Cash,29-03-22,Forum Istanbul,300.08,26-35,March
I235117,C326505,Female,28,Books,4,60.6,Credit Card,09-09-21,Forum Istanbul,242.4,26-35,September
I160616,C996804,Female,51,Clothing,5,1500.4,Cash,04-07-21,Istinye Park,7502,46-55,July
I335143,C291300,Female,40,Books,1,15.15,Credit Card,08-07-21,Zorlu Center,15.15,36-45,July
I950346,C278268,Male,63,Shoes,2,1200.34,Credit Card,26-04-22,Metropol AVM,2400.68,56-65,April
I220866,C227534,Female,39,Souvenir,4,46.92,Credit Card,09-08-22,Mall of Istanbul,187.68,36-45,August
I199229,C814993,Male,60,Clothing,3,900.24,Cash,04-09-21,Istinye Park,2700.72,56-65,September
I466323,C534260,Female,25,Food & Beverage,1,5.23,Credit Card,09-06-21,Emaar Square Mall,5.23,18-25,June
I135382,C197684,Female,69,Clothing,1,300.08,Credit Card,27-11-21,Kanyon,300.08,65+,November
I326449,C142558,Female,57,Food & Beverage,3,15.69,Credit Card,17-02-23,Metrocity,47.07,56-65,February
I337323,C235848,Male,38,Clothing,3,900.24,Cash,01-06-21,Metropol AVM,2700.72,36-45,June
I155469,C197524,Female,18,Souvenir,3,35.19,Credit Card,10-07-21,Metrocity,105.57,<18,July
I201687,C623276,Male,29,Books,4,60.6,Credit Card,30-08-21,Mall of Istanbul,242.4,26-35,August
I112297,C218364,Female,48,Clothing,4,1200.32,Credit Card,15-02-23,Viaport Outlet,4801.28,46-55,February
I406233,C144664,Male,24,Food & Beverage,4,20.92,Debit Card,18-07-21,Mall of Istanbul,83.68,18-25,July
I107398,C263859,Male,68,Toys,5,179.2,Cash,15-02-21,Mall of Istanbul,896,65+,February
I303217,C156224,Female,53,Clothing,2,600.16,Debit Card,02-04-22,Kanyon,1200.32,46-55,April
I265178,C261382,Female,24,Clothing,3,900.24,Debit Card,05-01-23,Metropol AVM,2700.72,18-25,January
I343253,C155678,Female,65,Souvenir,2,23.46,Credit Card,16-09-22,Mall of Istanbul,46.92,56-65,September
I222023,C217595,Female,19,Clothing,1,300.08,Debit Card,03-11-21,Mall of Istanbul,300.08,18-25,November
